
# Transformation - name of the transformation.
# Count          - the number of times the invocations corresponding to
#                  the transformation was executed.
# Succeeded      - the count of the succeeded invocations corresponding
#                  to the transformation.
# Failed         - the count of the failed invocations corresponding to
#                  the transformation.
# Min(sec)       - the minimum invocation runtime value corresponding
#                  to the transformation.
# Max(sec)       - the maximum invocation runtime value corresponding
#                  to the transformation.
# Mean(sec)      - the mean of the invocation runtime corresponding
#                  to the transformation.
# Total(sec)     - the cumulative of invocation runtime corresponding
#                  to the transformation.

# e86cc238-7265-4253-8249-7041c28cdeaa (gw150914-16day-c01-v1_3_2)
Transformation           Count     Succeeded Failed  Min       Max       Mean      Total     
plot_singles_timefreq-2-L1_ID32              65        1         64      4.737     1121.478  23.575           1532.386  
plot_singles_timefreq-3-H1_ID42              65        1         64      4.808     1341.252  26.834           1744.18   
plot_singles_timefreq-3-L1_ID43              65        1         64      4.749     1252.257  25.479           1656.112  
plot_singles_timefreq-4-H1_ID53              65        1         64      4.761     1126.542  23.721           1541.855  
plot_singles_timefreq-4-L1_ID54              65        1         64      4.713     1072.505  22.204           1443.262  
plot_trigger_timeseries-NEWSNR10_0-H1L1_ID4  1         1         0       906.462   906.462   906.462          906.462   
plot_trigger_timeseries-NEWSNR10_1-H1L1_ID15 1         1         0       1458.632  1458.632  1458.632         1458.632  
plot_trigger_timeseries-NEWSNR10_2-H1L1_ID26 1         1         0       947.114   947.114   947.114          947.114   
plot_trigger_timeseries-NEWSNR10_3-H1L1_ID37 1         1         0       1473.441  1473.441  1473.441         1473.441  
plot_trigger_timeseries-NEWSNR10_4-H1L1_ID48 1         1         0       1302.765  1302.765  1302.765         1302.765  
plot_trigger_timeseries-NEWSNR1_0-H1L1_ID3   1         1         0       1466.445  1466.445  1466.445         1466.445  
plot_trigger_timeseries-NEWSNR1_1-H1L1_ID14  1         1         0       1367.546  1367.546  1367.546         1367.546  
plot_trigger_timeseries-NEWSNR1_2-H1L1_ID25  1         1         0       1318.009  1318.009  1318.009         1318.009  
plot_trigger_timeseries-NEWSNR1_3-H1L1_ID36  1         1         0       1473.476  1473.476  1473.476         1473.476  
plot_trigger_timeseries-NEWSNR1_4-H1L1_ID47  1         1         0       1485.255  1485.255  1485.255         1485.255  
plot_trigger_timeseries-SNR10_0-H1L1_ID2     1         1         0       25146.247 25146.247 25146.247        25146.247 
plot_trigger_timeseries-SNR10_1-H1L1_ID13    1         1         0       1442.787  1442.787  1442.787         1442.787  
